ensg_id,gene_symbol,leiden-nt,leiden-esm3,mmidas-joint,nt-umap-0,nt-umap-1,aa-umap-0,aa-umap-1
ENSMUSG00000074502.5,Ubtfl1,10,29,-1,7.805119,-1.1568718,6.849274,0.03570861
ENSMUSG00000021620.5,Acot12,5,13,-1,9.985404,4.032351,7.7778063,5.377451
ENSMUSG00000059689.16,Zfp637,5,38,19,9.547485,4.6989446,6.658676,-7.1376987
ENSMUSG00000056812.15,St8sia3,10,17,0,8.020656,-0.49127987,5.3229637,6.1626725
ENSMUSG00000038174.15,Hycc2,11,6,1,14.535617,1.9760631,8.535104,-0.557236
ENSMUSG00000020538.16,Srebf1,7,40,1,12.896666,3.524874,6.2576776,-0.15292053
ENSMUSG00000029022.19,Miip,2,6,-1,8.544512,0.8342754,8.918039,-2.7406843
ENSMUSG00000057522.16,Spop,8,26,-1,11.75017,0.6697668,8.707544,4.462292
ENSMUSG00000070686.12,Pramel34,5,35,-1,9.404535,1.6366576,1.233113,4.3056803
ENSMUSG00000046402.11,Rbp1,5,7,2,8.555217,0.5799294,8.0619755,9.528554
ENSMUSG00000106918.4,Mrpl33,0,29,2,6.064659,6.2464633,8.009272,4.633131
ENSMUSG00000032812.19,Arap1,7,23,1,12.41944,4.2353854,6.1299114,2.5032778
ENSMUSG00000021990.17,Spata13,7,23,3,12.41046,3.0327609,5.9186406,0.9357149
ENSMUSG00000039536.17,Stau1,11,13,-1,12.962709,0.29742962,6.975937,2.8326192
ENSMUSG00000024109.19,Nrxn1,8,7,5,11.370293,-0.77046096,5.3314195,8.990474
ENSMUSG00000044903.16,Psg22,5,5,10,8.013549,2.4657307,4.306945,12.828205
ENSMUSG00000053774.10,Ubxn7,11,29,-1,15.217089,-0.976994,7.583557,3.221236
ENSMUSG00000054920.13,Klhl5,8,26,12,11.465074,0.11294277,11.454223,6.8170567
ENSMUSG00000022156.9,Gzme,2,19,0,7.7220654,2.0322342,2.614223,7.797469
ENSMUSG00000028076.13,Cd1d1,2,5,10,8.765352,2.6861222,5.4561725,14.304598
ENSMUSG00000045007.10,Tubg2,14,8,-1,10.023182,-7.6088367,7.562476,7.5190134
ENSMUSG00000025420.14,Katnal2,5,21,-1,10.066918,1.5302266,5.624895,4.9758782
ENSMUSG00000095592.2,Ighd5-7,0,16,26,3.4840708,6.2438936,11.28672,-7.9222593
ENSMUSG00000028873.17,Cdca8,0,6,-1,6.721702,4.284383,8.725364,-1.3916228
ENSMUSG00000074111.5,Mrgpra9,2,39,16,7.2990184,3.72535,16.106468,3.0634108
ENSMUSG00000052609.10,Plekhg3,11,23,-1,13.80101,0.3009322,6.0439987,0.777701
ENSMUSG00000029346.13,Srrd,5,13,1,12.893039,1.983174,7.279213,4.070918
ENSMUSG00000024404.8,Riok3,7,25,1,13.107513,3.4709902,9.676922,4.3664
ENSMUSG00000035177.9,Nlrp2,8,13,1,9.279733,-0.9176631,4.7814035,4.22999
ENSMUSG00000050357.10,Carmil2,7,35,1,12.3039055,4.0335054,2.7141497,4.5456753
ENSMUSG00000041852.16,Tcf20,14,12,3,11.056784,-2.7256165,6.885361,-0.72692984
ENSMUSG00000105606.2,Igkv2-109,0,0,18,4.796275,5.693395,4.3113337,16.396662
ENSMUSG00000079608.11,Stard6,5,13,-1,9.33525,3.245075,7.3621984,4.631878
ENSMUSG00000092297.2,Vmn1r258,0,46,17,4.8499722,2.8939145,19.849306,5.610232
ENSMUSG00000059205.6,Or10ag60,10,44,4,7.3595695,-0.9341286,-5.264824,4.760874
ENSMUSG00000059371.5,Or6k14,10,44,4,7.698202,-2.547709,-4.6098814,7.255892
ENSMUSG00000104213.6,Ighd,5,5,10,9.17777,4.359925,5.34475,12.311033
ENSMUSG00000022330.6,Osr2,2,28,-1,8.891132,2.2344816,5.466412,-4.1043725
ENSMUSG00000020701.13,Tmem132e,14,7,-1,10.274898,-5.5263186,8.350833,0.9930037
ENSMUSG00000059772.13,Slx1b,11,12,-1,13.551409,0.065921985,7.9429574,4.1892242
ENSMUSG00000031799.11,Tpm4,11,34,22,13.804677,1.9448588,8.113934,-5.52066
ENSMUSG00000028538.13,St3gal3,11,17,0,13.909147,0.097197585,5.443643,6.241301
ENSMUSG00000055430.5,Nap1l5,7,6,1,12.096904,3.4734535,8.791417,-0.9521813
ENSMUSG00000052760.17,A630001G21Rik,10,6,-1,7.9943686,-1.068535,7.7448463,-0.112461254
ENSMUSG00000030004.7,Nat8,5,13,0,8.118156,4.934072,8.863549,5.5326257
ENSMUSG00000039130.19,Zc3hc1,0,6,1,6.96549,3.0833137,7.6585355,-0.45066386
ENSMUSG00000001227.13,Sema6b,11,7,0,14.067713,-0.1073237,5.6197615,8.352978
ENSMUSG00000095595.3,Fam177a,11,6,2,15.198481,0.9106952,9.68059,-1.4503481
ENSMUSG00000037857.17,Nufip2,7,6,3,13.813119,3.0021198,7.822695,-2.3951375
ENSMUSG00000059395.5,Nkapl,2,6,3,8.826615,2.3796387,8.606868,-1.2819968
ENSMUSG00000035401.10,Emsy,11,6,3,13.929384,-1.359163,6.8286223,-1.7896359
ENSMUSG00000031957.7,Ctrb1,0,19,0,5.0102797,4.2719836,2.9713848,7.8679256
ENSMUSG00000000876.12,Pxmp4,11,2,0,13.790185,0.3897521,11.044434,2.4216816
ENSMUSG00000095143.6,Hsd3b4,2,8,0,8.532359,2.1253512,8.839319,6.402385
ENSMUSG00000042708.13,Shcbp1l,2,6,1,11.120473,1.7002711,7.559479,1.1993353
ENSMUSG00000095653.4,Tcstv1b,2,6,2,7.054835,2.4881773,10.265655,-2.606242
ENSMUSG00000041849.8,Card6,8,6,1,10.595716,-1.5989664,7.5425534,-0.81955886
ENSMUSG00000031933.18,Izumo1r,5,11,0,8.524434,4.361834,4.118426,7.672771
ENSMUSG00000059326.8,Csf2ra,5,5,0,11.300024,1.8618745,4.9021635,10.664459
ENSMUSG00000063820.12,Arl9,0,18,8,6.8625097,5.097158,3.9867494,5.8491936
ENSMUSG00000038170.16,Pde4dip,8,34,-1,11.09948,-0.6857955,7.8338323,-4.682339
ENSMUSG00000029472.14,Anapc5,5,29,14,12.143169,1.4104682,4.7239122,2.6478033
ENSMUSG00000061882.14,Ccdc62,11,34,22,13.868694,1.7504251,8.066449,-4.3810782
ENSMUSG00000052133.17,Sema5b,7,7,5,13.660219,1.543581,5.403439,8.713702
ENSMUSG00000023861.19,Mpc1,5,2,2,8.143699,3.8729386,11.596196,2.7814715
ENSMUSG00000032688.10,Malt1,11,13,-1,14.817947,-0.7628128,5.8837924,4.4358315
ENSMUSG00000051617.4,Krt9,7,54,22,10.458801,0.7393723,12.062077,-6.804012
ENSMUSG00000020841.6,Cpd,11,8,-1,12.749249,-1.6496115,6.9893947,8.512209
ENSMUSG00000044934.14,Zfp367,11,28,3,12.950084,-1.469456,5.858519,-2.982527
ENSMUSG00000096582.2,Gm13289,0,50,2,3.9983397,4.321748,2.6705382,-0.93817097
ENSMUSG00000037138.19,Aff3,11,6,3,15.379532,2.3028092,7.057895,-2.1803477
ENSMUSG00000095197.8,Ighv1-59,0,14,18,3.2310815,5.71723,8.347869,18.188229
ENSMUSG00000102313.2,Ighv1-62-1,0,14,18,3.2460763,5.7415094,8.248813,18.620222
ENSMUSG00000051401.8,Kctd16,11,13,1,12.30886,0.52513254,7.502362,1.779843
ENSMUSG00000044170.6,Or2y14,10,44,4,7.3156476,-1.934877,-5.907701,5.4554725
ENSMUSG00000032611.10,1700102P08Rik,5,1,2,9.998637,3.53805,10.233265,-2.2160316
ENSMUSG00000026308.9,Klhl30,8,26,12,11.324249,-1.2899853,11.109758,6.50226
ENSMUSG00000026880.12,Stom,7,29,0,13.493037,3.7764695,7.1299047,5.9336624
ENSMUSG00000103770.2,Pcdha9,9,22,25,12.447989,-3.8983202,11.718398,14.977935
ENSMUSG00000048450.11,Msx1,7,40,7,14.416095,2.53315,2.002946,-3.9933562
ENSMUSG00000018378.14,Cuedc1,11,6,-1,15.54929,0.58775574,8.117557,-0.8617125
ENSMUSG00000037434.8,Slc30a1,11,3,0,13.737708,-0.59228665,12.318603,3.839692
ENSMUSG00000003206.8,Ebi3,0,5,0,6.701403,4.7490573,4.7538223,10.922085
ENSMUSG00000014547.11,Wdfy2,11,43,12,14.882635,0.18411073,1.7978262,2.7287507
ENSMUSG00000031928.16,Mre11a,7,8,1,10.447886,1.1619081,7.277204,6.3604965
ENSMUSG00000090264.2,Eif4ebp3,0,1,2,6.175314,4.7375693,9.712484,-1.1445321
ENSMUSG00000027004.4,Frzb,5,7,0,10.644917,1.2558514,5.175004,8.766184
ENSMUSG00000029440.16,Psmd9,11,23,1,14.597066,-1.0125259,7.5950685,3.7677722
ENSMUSG00000094105.8,Speer1n,2,34,23,8.375812,3.27574,9.988128,-3.4843822
ENSMUSG00000052139.19,Babam2,2,6,1,7.0320735,2.444624,7.561156,1.995444
ENSMUSG00000038086.5,Hspb2,5,23,-1,10.422618,3.1708648,7.9189997,2.7226992
ENSMUSG00000026017.14,Carf,7,6,1,12.92881,3.691432,7.9185877,-1.0736046
ENSMUSG00000055933.14,Oosp3,0,1,2,4.945419,5.139278,10.460453,-0.7411092
ENSMUSG00000078193.3,Rpl35rt,0,29,2,5.8446045,3.810008,8.832537,5.748285
ENSMUSG00000043091.10,Tuba1c,14,8,0,10.463863,-6.3819866,10.407107,9.190491
ENSMUSG00000048067.9,Or10am5,10,44,4,8.01791,-1.1656616,-6.2413588,6.2762113
ENSMUSG00000038594.10,Cep85l,11,34,3,14.617991,-1.4876305,7.9657965,-4.1501856
ENSMUSG00000038250.10,Usp38,11,9,1,12.199815,-0.119063355,6.072637,4.373755
ENSMUSG00000024987.7,Cyp26a1,5,27,0,11.431131,1.7782235,8.203379,7.9025874
ENSMUSG00000031490.7,Eif4ebp1,11,1,2,13.610797,1.0647814,9.467622,-1.2762285
ENSMUSG00000001670.14,Tat,2,8,0,8.893566,1.5473197,8.852613,8.637674
ENSMUSG00000031706.8,Rfx1,11,6,3,14.127478,-0.9208424,6.8919635,-1.2027919
ENSMUSG00000098374.2,Gm28043,11,12,1,13.281626,0.016163781,7.7175784,1.1021671
ENSMUSG00000033009.16,Ogfod1,11,27,1,14.501087,-1.3684349,7.1046805,6.258371
ENSMUSG00000015932.9,Dstn,2,29,-1,9.521363,2.90587,6.9686522,4.8548465
ENSMUSG00000040514.7,Tex47,5,6,-1,9.618309,2.3353431,7.8988695,1.1255227
ENSMUSG00000030068.5,Gm20696,11,1,2,13.815059,1.5880263,11.704732,-3.1479037
ENSMUSG00000018893.16,Mb,0,24,2,6.63688,2.9277427,10.628794,8.548671
ENSMUSG00000031516.12,Dctn6,2,43,0,8.268481,4.1284585,7.4594603,5.589142
ENSMUSG00000016386.16,Mpped2,11,8,0,11.880784,0.98837054,7.504014,7.15708
ENSMUSG00000101480.4,Or4c115,10,44,4,7.1135454,-2.0017736,-4.2689686,6.8367248
ENSMUSG00000043969.5,Emx2,11,40,-1,14.419048,1.1235658,2.3186402,-3.614513
ENSMUSG00000037393.3,Nmur2,8,39,16,11.483108,-1.9563578,16.586193,1.5569477
ENSMUSG00000018862.12,Otop3,14,2,0,9.917433,-8.972926,11.719633,2.2101586
ENSMUSG00000033715.16,Akr1c14,8,20,0,9.327617,-1.3237927,10.364134,9.713481
ENSMUSG00000048981.2,Krt31,8,54,22,9.975658,-1.1364893,11.938336,-6.601522
ENSMUSG00000022797.17,Tfrc,11,17,0,14.231512,-0.07679458,6.630996,8.017261
ENSMUSG00000094335.3,Igkv1-117,0,0,18,4.3601937,5.539978,4.164478,15.966665
ENSMUSG00000000182.10,Fgf23,8,7,0,9.867812,0.04273763,6.78875,10.558235
ENSMUSG00000019789.10,Hey2,5,40,-1,12.132943,0.8780693,3.8841116,-4.1145015
ENSMUSG00000041859.11,Mcm3,8,21,15,12.519581,-1.4768945,6.1428223,5.976298
ENSMUSG00000024941.10,Scyl1,11,33,1,12.994809,-1.4153372,4.498266,2.1978195
ENSMUSG00000090379.3,Gm8229,2,34,23,7.776696,1.6264851,9.963192,-3.7699788
ENSMUSG00000079427.11,Mthfsl,5,8,0,9.56372,4.8681583,8.321927,6.9731216
ENSMUSG00000027555.9,Car13,7,8,0,12.685589,2.9077184,8.740591,9.349851
ENSMUSG00000064333.3,Or8d2b,0,44,4,5.428932,3.9514995,-4.9514236,2.8438888
ENSMUSG00000050359.8,Sprr1a,0,42,2,5.8762317,4.137323,12.694951,-2.22273
ENSMUSG00000079278.4,Tmem233,8,2,2,11.482469,-1.2962484,11.435391,1.986575
ENSMUSG00000026224.12,4933407L21Rik,0,1,2,5.864683,5.0857787,11.207076,-1.9113522
ENSMUSG00000024425.5,Ndfip1,5,2,2,11.521498,2.5609384,11.037998,0.7571507
ENSMUSG00000051000.18,Fhip1a,8,33,14,10.453605,-0.29884017,5.1964946,-0.059370108
ENSMUSG00000045009.10,Prrt3,2,1,-1,10.189086,1.5659329,10.07718,-0.29289415
ENSMUSG00000030747.6,Dgat2,2,8,0,11.626857,1.1664629,9.243446,6.2279353
ENSMUSG00000050558.14,Prokr2,14,39,16,10.947087,-2.9810703,16.038454,1.9852434
ENSMUSG00000022422.14,Dscc1,5,29,1,10.677058,2.2561193,6.6433783,2.6644907
ENSMUSG00000121573.1,,0,1,2,3.9912598,5.876874,11.442548,-3.3152206
ENSMUSG00000002983.19,Relb,5,31,1,12.633099,2.0099478,6.920923,1.1241158
ENSMUSG00000024146.10,Cript,2,6,2,9.445354,3.4638057,9.335724,-0.5892875
ENSMUSG00000052794.14,1700030K09Rik,12,6,3,15.035827,-3.412338,7.9491897,-2.4224753
ENSMUSG00000073725.9,Lmbrd1,11,2,0,14.678694,0.013576529,11.381746,3.0017579
ENSMUSG00000064325.5,Hhip,11,19,0,15.060594,-0.37468046,4.9691963,8.410932
ENSMUSG00000109293.2,Dcst2,2,2,0,8.429188,2.3137326,10.64294,1.2855841
ENSMUSG00000046210.8,Or4q3,0,44,4,5.34453,3.7111409,-5.150282,5.9177475
ENSMUSG00000021439.9,Ctsq,2,19,0,7.6959763,3.3432577,6.967112,9.892577
ENSMUSG00000087247.4,Alkal1,0,1,2,6.2365274,4.6395473,10.769989,-1.1188521
ENSMUSG00000089844.8,Sp140l1,0,6,-1,7.032316,5.332966,7.868681,-0.11586441
ENSMUSG00000051379.13,Flrt3,11,35,-1,13.339706,-0.9920823,2.2438962,6.1674232
ENSMUSG00000038121.7,Fam210a,11,2,2,15.234252,-2.2775488,10.888748,1.3225876
ENSMUSG00000095706.4,Or5ac25,0,44,4,5.058626,3.3964312,-4.5522027,4.652825
ENSMUSG00000053146.3,Or1j20,10,44,4,6.2978735,-0.80132914,-5.7758627,3.5765383
ENSMUSG00000110723.2,Gm49353,0,1,2,5.443942,4.7715106,12.156556,-2.8953395
ENSMUSG00000041258.19,Zfp236,14,28,3,9.429915,-10.119539,5.694948,-3.795222
ENSMUSG00000015812.9,Gnrh1,0,1,2,5.2594047,6.166597,11.3308525,-1.4957786
ENSMUSG00000014353.16,Tmem87b,8,2,0,11.69571,-1.4343851,11.891358,3.2219691
ENSMUSG00000022807.10,Osbpl11,11,29,1,13.302094,1.3324195,7.81458,3.7015913
ENSMUSG00000029223.13,Uchl1,2,9,-1,8.616776,2.0237255,6.5992064,6.0965123
ENSMUSG00000072722.3,Ccdc121rt2,5,34,1,9.355836,3.8666286,8.888917,-3.7129123
ENSMUSG00000036655.9,Colec11,2,49,0,8.189841,2.0392015,3.3642561,11.134218
ENSMUSG00000025417.9,Pip4k2c,7,13,1,15.055086,2.451295,6.260752,4.3509126
ENSMUSG00000030432.13,Rpl28,2,29,2,9.750501,2.8737032,7.957474,4.025142
ENSMUSG00000051444.10,Bbs12,5,13,1,10.582355,3.8011045,6.8897543,3.355536
ENSMUSG00000068823.11,Csde1,11,13,1,12.149674,1.0817753,7.5272307,2.8033683
ENSMUSG00000090762.3,Vmn2r56,10,51,21,7.3723087,-2.4112897,13.663609,8.650942
ENSMUSG00000023010.16,Tmbim6,11,2,0,14.0767145,-1.8390825,11.755658,3.6730437
ENSMUSG00000021775.12,Nr1d2,11,24,-1,14.283141,1.9291689,11.774774,9.120797
ENSMUSG00000114942.2,Gm49361,2,25,1,10.942689,2.1202052,9.159374,3.2114048
ENSMUSG00000066440.6,Zfyve26,8,33,6,11.03188,0.57843167,4.8275933,0.25372177
ENSMUSG00000034774.7,Dsg1c,9,22,25,12.284787,-3.5927444,10.945415,14.769795
ENSMUSG00000001034.18,Mapk7,11,25,1,14.033916,-0.7160505,9.660061,4.2507725
ENSMUSG00000022041.11,Chrna2,8,48,0,9.667264,-1.7452877,-1.3520391,1.6556003
ENSMUSG00000030924.17,Rexo5,11,13,1,13.121765,2.2079594,6.833112,3.3541527
ENSMUSG00000036052.15,Dnajb5,11,29,13,15.094937,-1.5008944,8.859347,3.590637
ENSMUSG00000042251.13,Pm20d1,8,8,0,11.92015,-1.3679297,8.289138,8.585331
ENSMUSG00000021508.12,Cxcl14,5,30,11,11.814759,1.8415433,0.5303806,9.950777
ENSMUSG00000046387.6,Pcdhb17,9,22,25,9.732716,-2.2532504,-2.5025113,9.48746
ENSMUSG00000096011.2,Ifna15,0,50,2,3.7655745,4.6644635,2.0776136,-0.61143607
ENSMUSG00000073962.10,Or51a7,10,53,4,5.3874145,0.7642748,-9.192292,0.9000678
ENSMUSG00000054325.6,Lce3a,0,42,24,5.410702,6.144612,13.03217,-2.3421166
ENSMUSG00000044626.14,Liph,7,19,0,12.687219,3.1529615,6.7679467,8.883479
ENSMUSG00000025931.16,Paqr8,8,2,0,11.652634,-0.10514942,11.436035,3.838747
ENSMUSG00000025199.17,Chuk,11,25,1,12.521757,-0.90050167,9.154044,4.366906
ENSMUSG00000096555.4,Or8g27,10,44,4,6.838563,0.6137615,-4.3059497,3.7034876
ENSMUSG00000018377.11,Vezf1,11,28,3,14.277474,1.4460456,5.6761417,-3.6607347
ENSMUSG00000091827.3,Speer4f2,2,34,23,7.517518,2.2928772,8.9335785,-3.682158
ENSMUSG00000044772.3,Sntn,0,37,2,6.9868293,3.7431915,4.208895,3.3003702
ENSMUSG00000071276.2,Fpr-rs7,0,39,-1,5.9521956,3.7405589,16.887712,1.8421782
ENSMUSG00000041247.9,Lamp3,8,7,0,9.3971,0.019352576,5.043068,9.074664
ENSMUSG00000027379.15,Bub1,2,25,1,11.519369,2.1975644,7.7117424,1.9290253
ENSMUSG00000025779.11,Ly96,0,7,2,5.6531053,4.676768,5.302295,9.157017
ENSMUSG00000038037.6,Socs1,7,23,1,14.496417,1.7899154,6.0640655,2.1681123
ENSMUSG00000068547.8,Clca4a,7,19,5,9.767982,2.533997,5.7821026,8.599075
ENSMUSG00000034486.9,Gbx2,11,40,7,14.660586,0.8267547,2.4926054,-3.6289053
ENSMUSG00000005823.10,Gpr108,2,2,0,9.590881,2.072726,11.962339,3.1131754
ENSMUSG00000043592.16,Unc5cl,2,7,-1,9.112721,1.5682214,7.5172925,1.7284036
ENSMUSG00000031634.14,Ufsp2,2,9,0,8.157963,2.7759345,6.730086,5.1244097
ENSMUSG00000074884.13,Serf2,0,1,2,6.412304,5.9189377,10.478208,-3.1878378
ENSMUSG00000072915.4,Gm12258,8,38,19,10.919431,-2.3189971,6.6896915,-6.389248
ENSMUSG00000091682.4,Trgc3,0,5,10,4.8656263,5.0180106,5.3060923,12.629185
ENSMUSG00000028173.11,Wls,5,2,0,12.469842,-0.0022266288,11.923763,2.5531
ENSMUSG00000028070.8,Naxe,0,8,0,6.8846083,5.768897,9.191719,7.406159
ENSMUSG00000091539.3,Vmn1r238,0,46,17,6.083415,3.9654486,19.36206,4.584638
ENSMUSG00000020635.9,Fkbp1b,2,8,2,8.13353,1.9056253,8.894081,8.551274
ENSMUSG00000023017.11,Asic1,2,7,0,8.228539,2.3230247,6.090131,8.095669
ENSMUSG00000042641.20,Rgsl1,7,6,6,11.783184,3.447736,8.431296,-0.24862306
ENSMUSG00000103392.2,Gm38303,0,1,2,6.052289,6.255935,11.094691,-2.3482978
ENSMUSG00000020537.10,Drg2,2,18,15,10.189503,0.8312196,6.0526786,5.947328
ENSMUSG00000024740.11,Ddb1,11,43,12,12.663442,0.35245007,1.5253403,3.0020602
ENSMUSG00000057551.11,Zfp317,15,38,19,12.60844,-1.0123717,6.852805,-7.2749405
ENSMUSG00000026319.14,Relch,11,33,14,15.462221,1.891289,4.3698583,0.5202015
ENSMUSG00000024056.11,Ndc80,11,34,1,13.154772,-0.8781801,8.514459,-4.0760593
ENSMUSG00000030001.5,Figla,0,40,-1,6.9858356,5.8951015,3.9624813,-4.185543
ENSMUSG00000017861.12,Mybl2,11,6,3,13.980228,0.42746565,5.469816,-1.3346531
ENSMUSG00000072825.13,Cep170b,11,23,3,13.368069,-0.51412565,6.7049055,-0.4006838
ENSMUSG00000032932.16,Hspa13,11,8,0,13.887653,-0.8978265,7.4987154,7.661974
ENSMUSG00000055926.4,Gm14137,2,6,2,10.742174,2.3530426,9.293599,-2.6648903
ENSMUSG00000033943.16,Mga,7,6,3,12.639881,3.6867032,6.781624,-1.0617099
ENSMUSG00000036599.11,Chst12,11,17,0,12.445542,0.15983874,5.0128274,6.548006
ENSMUSG00000009418.18,Nav1,11,6,3,15.533692,-0.4200547,6.830756,-1.3555325
ENSMUSG00000097427.6,Alyreffm14,18,36,13,4.54853,14.198631,10.082779,2.094947
ENSMUSG00000041840.9,Haus1,2,34,1,7.3437805,1.3177382,9.819547,-3.334437
ENSMUSG00000096445.2,Dcpp1,0,7,2,6.2491994,5.3809414,5.4966273,8.3248825
ENSMUSG00000050199.14,Lgr4,11,35,-1,13.8541765,-1.2795855,2.1865926,6.3974943
ENSMUSG00000070732.3,Rbm44,8,6,3,10.76709,-1.081044,7.43819,-1.5863168
ENSMUSG00000037325.11,Bbs7,8,43,1,11.908083,0.81641346,2.8618731,2.1984236
ENSMUSG00000035575.12,Utp6,8,29,14,12.409831,-0.36489308,4.723871,3.638616
ENSMUSG00000036046.15,5031439G07Rik,11,6,1,16.062542,-0.66190434,9.083109,-0.78313243
ENSMUSG00000024866.11,Acy3,5,8,0,8.8539505,4.2394376,7.8995924,7.39362
ENSMUSG00000028284.14,Map3k7,11,25,1,15.899414,0.59833544,9.322238,4.1783376
ENSMUSG00000026285.9,Pdcd1,2,5,10,7.8036227,2.3799963,5.711229,11.461472
ENSMUSG00000031787.9,Katnb1,11,43,12,13.059875,-1.1095192,2.076305,2.180266
ENSMUSG00000038712.17,Mindy1,11,9,1,12.8362,0.32719305,6.259676,4.1899695
ENSMUSG00000073197.10,5730507C01Rik,5,38,20,11.883322,1.0987896,8.042128,-7.7786283
ENSMUSG00000026790.20,Odf2,2,34,22,9.017263,0.35778216,8.12617,-5.6196322
ENSMUSG00000074607.12,Tox2,2,40,3,9.923568,0.3525025,4.7827454,-2.6721823
ENSMUSG00000029546.13,Uncx,11,40,7,14.243376,-2.1721804,3.053092,-3.1969488
ENSMUSG00000038876.13,Rnf146,8,12,1,9.463876,0.8942563,8.207132,1.3261528
ENSMUSG00000033769.17,Exoc6b,11,29,14,12.720544,0.34521738,4.283236,2.716619
ENSMUSG00000095325.4,Zfp870,10,38,19,8.124908,-0.6352307,7.0933995,-7.138889
ENSMUSG00000096151.3,Or5p56,10,44,4,7.443297,-0.61113954,-4.6137366,3.8294315
ENSMUSG00000025316.17,Banp,11,6,-1,14.513908,1.6922252,7.165074,-1.2348626
ENSMUSG00000035557.10,Krt17,8,54,22,9.995472,-0.7927232,12.032922,-6.674201
ENSMUSG00000020630.10,Rnaseh1,5,13,1,10.203087,4.0734253,7.6908693,5.469896
ENSMUSG00000022938.9,Fam3b,5,1,-1,8.394868,4.956973,9.284074,0.60562885
ENSMUSG00000014453.5,Blk,2,25,1,8.708353,0.7940243,10.216943,5.852284
ENSMUSG00000051050.11,Spink14,0,11,11,5.5823383,4.196907,2.3683178,9.3569145
ENSMUSG00000007908.15,Hmgcll1,5,8,0,11.244659,2.5837636,9.335576,8.106446
